id,Name,Area,Perimeter,MaxDist,Stream,Section,FlowLength,Sinu,W_avg_A,DeltaH,W_avg_measured,Depth_avg,AR_measured,Grad_straight,Grad_flow,AR_A,Q_mean,Q_max,v_Qmax,f_Qmax,Q_max2
1.0,01InjCTD,217.0 ± 22.0,270.0 ± 5.5,124.0 ± 0.5,1,0,134.0 ± 2.8,1.08 ± 0.023,1.62 ± 0.16,3.1 ± 0.021,1.67 ± 0.017,0.332 ± 0.0038,5.17 ± 0.084,0.0251 ± 0.0002,0.0232 ± 0.00051,4.87 ± 0.49,0.312 ± 0.014,0.991 ± 0.054,1.52 ± 0.046,0.153 ± 0.019,0.69 ± 0.049
1.1,01InjWTW,92.0 ± 9.2,132.0 ± 2.6,63.7 ± 0.5,1,1,65.1 ± 1.3,1.02 ± 0.022,1.41 ± 0.14,1.3 ± 0.023,1.46 ± 0.023,0.349 ± 0.0051,4.24 ± 0.093,0.0204 ± 0.00039,0.02 ± 0.00054,4.05 ± 0.41,0.278 ± 0.017,0.875 ± 0.067,2.76 ± 6.9,0.056 ± 0.052,0.61 ± 0.061
1.2,01WTWCTD,125.0 ± 12.0,141.0 ± 2.9,63.2 ± 0.5,1,2,69.4 ± 1.4,1.1 ± 0.024,1.8 ± 0.18,1.8 ± 0.022,1.85 ± 0.022,0.325 ± 0.0052,5.85 ± 0.12,0.0285 ± 0.00041,0.026 ± 0.00062,5.52 ± 0.57,0.346 ± 0.022,1.11 ± 0.086,1.23 ± 0.24,0.409 ± 0.22,0.77 ± 0.077
2.0,02InjCTD,307.0 ± 30.0,650.0 ± 13.0,289.0 ± 0.5,2,0,324.0 ± 6.4,1.12 ± 0.022,0.947 ± 0.097,4.38 ± 0.024,0.986 ± 0.019,0.234 ± 0.0045,4.31 ± 0.12,0.0151 ± 8.6e-5,0.0135 ± 0.00028,4.05 ± 0.42,NaN ± NaN,NaN ± NaN,0.882 ± 0.018,0.192 ± 0.021,0.18 ± 0.013
2.1,02InjWTW,192.0 ± 20.0,451.0 ± 8.8,207.0 ± 0.5,2,1,224.0 ± 4.4,1.08 ± 0.022,0.858 ± 0.091,1.8 ± 0.018,0.966 ± 0.029,0.228 ± 0.0067,4.45 ± 0.2,0.00872 ± 8.9e-5,0.00805 ± 0.00018,3.77 ± 0.41,NaN ± NaN,NaN ± NaN,1.41 ± 0.095,0.023 ± 0.0053,0.14 ± 0.014
2.2,02WTWCTD,113.0 ± 11.0,200.0 ± 3.9,83.5 ± 0.5,2,2,99.1 ± 2.0,1.19 ± 0.025,1.14 ± 0.11,2.57 ± 0.022,1.02 ± 0.023,0.229 ± 0.0053,4.53 ± 0.16,0.0308 ± 0.00032,0.026 ± 0.00056,5.01 ± 0.51,0.0334 ± 0.014,0.439 ± 0.059,0.48 ± 0.026,2.78 ± 0.54,0.22 ± 0.022
3.0,03InjCTD,129.0 ± 13.0,255.0 ± 5.2,120.0 ± 0.5,3,0,127.0 ± 2.6,1.05 ± 0.022,1.02 ± 0.1,4.01 ± 0.028,0.906 ± 0.017,0.271 ± 0.0042,3.36 ± 0.084,0.0334 ± 0.00027,0.0317 ± 0.00069,3.76 ± 0.38,NaN ± NaN,NaN ± NaN,1.28 ± 0.037,0.214 ± 0.027,0.26 ± 0.018
3.1,03InjWTW,57.8 ± 5.7,115.0 ± 2.3,52.7 ± 0.5,3,1,56.3 ± 1.1,1.07 ± 0.024,1.03 ± 0.1,2.07 ± 0.026,0.875 ± 0.025,0.268 ± 0.0058,3.27 ± 0.12,0.0393 ± 0.00062,0.0368 ± 0.00088,3.83 ± 0.4,NaN ± NaN,NaN ± NaN,1.72 ± 8.7,0.199 ± 0.14,0.23 ± 0.023
3.2,03WTWCTD,71.3 ± 7.2,143.0 ± 2.9,67.6 ± 0.5,3,2,70.5 ± 1.4,1.04 ± 0.023,1.01 ± 0.1,1.94 ± 0.021,0.94 ± 0.022,0.274 ± 0.0052,3.44 ± 0.11,0.0288 ± 0.00038,0.0276 ± 0.00064,3.69 ± 0.39,NaN ± NaN,NaN ± NaN,1.23 ± 0.24,0.273 ± 0.14,0.29 ± 0.029
4.0,04InjCTD,141.0 ± 14.0,244.0 ± 4.7,98.4 ± 0.5,4,0,121.0 ± 2.4,1.23 ± 0.025,1.16 ± 0.12,3.58 ± 0.02,1.22 ± 0.02,0.204 ± 0.0048,6.1 ± 0.19,0.0363 ± 0.00027,0.0295 ± 0.00061,5.69 ± 0.59,0.15 ± 0.0069,0.299 ± 0.017,1.0 ± 0.026,0.335 ± 0.039,0.235 ± 0.017
4.1,04InjWTW,34.4 ± 3.4,58.6 ± 1.2,24.6 ± 0.5,4,1,28.3 ± 0.59,1.15 ± 0.034,1.21 ± 0.12,1.2 ± 0.025,1.35 ± 0.035,0.185 ± 0.0081,7.34 ± 0.37,0.0487 ± 0.0014,0.0422 ± 0.0012,6.58 ± 0.72,0.136 ± 0.0086,0.263 ± 0.021,1.89 ± 17.0,0.263 ± 0.35,0.22 ± 0.022
4.2,04WTWCTD,107.0 ± 10.0,188.0 ± 3.7,75.0 ± 0.5,4,2,92.8 ± 1.8,1.24 ± 0.026,1.15 ± 0.11,2.38 ± 0.025,1.18 ± 0.022,0.207 ± 0.0052,5.87 ± 0.2,0.0317 ± 0.00039,0.0257 ± 0.00058,5.56 ± 0.56,0.164 ± 0.011,0.335 ± 0.027,0.926 ± 0.1,0.427 ± 0.14,0.25 ± 0.025
5.0,1upperInjCTD,75.9 ± 7.6,170.0 ± 3.4,76.3 ± 0.5,5,0,84.2 ± 1.7,1.1 ± 0.023,0.902 ± 0.092,3.75 ± 0.021,0.725 ± 0.021,0.295 ± 0.0048,2.48 ± 0.084,0.0491 ± 0.00042,0.0446 ± 0.00092,3.06 ± 0.32,NaN ± NaN,NaN ± NaN,1.28 ± 0.045,0.379 ± 0.053,0.295 ± 0.021
5.1,1upperInjWTW,55.9 ± 5.6,117.0 ± 2.3,52.2 ± 0.5,5,1,57.3 ± 1.2,1.1 ± 0.024,0.976 ± 0.099,2.44 ± 0.026,0.737 ± 0.025,0.316 ± 0.0057,2.34 ± 0.094,0.0468 ± 0.00067,0.0426 ± 0.00097,3.09 ± 0.32,NaN ± NaN,NaN ± NaN,1.86 ± 1.6,0.174 ± 0.15,0.25 ± 0.025
5.2,1upperWTWCTD,19.9 ± 2.0,56.2 ± 1.1,26.8 ± 0.5,5,2,27.1 ± 0.57,1.01 ± 0.029,0.733 ± 0.075,1.31 ± 0.022,0.817 ± 0.029,0.292 ± 0.0068,2.8 ± 0.12,0.0488 ± 0.0013,0.0483 ± 0.0013,2.51 ± 0.26,NaN ± NaN,NaN ± NaN,1.04 ± 1.4,1.87 ± 1.7,0.34 ± 0.034
