Serial Number;205145
Device Identity;205145-10mH2O
Exported from File;C:\Users\mauro_adm\Documents\KELLER\LOGGER_5\data\205145-10mH2O_09_08_2024-07_30_00.DX5
Record Start Time;09/08/2024 07:30:00

;;;;CH1;CH4;CH11
;;;;Pressure1;Temperature TOB1;Conductivity Raw
;;;;mbar;°C;uS/cm
No;;Date;Time;P1;TOB1;ConRaw
1;;09/08/2024;07:30:00;726,379;14,54;0,00000;
2;;09/08/2024;07:30:01;726,379;14,54;0,00000;
3;;09/08/2024;07:30:02;726,364;14,54;0,00000;
4;;09/08/2024;07:30:03;726,364;14,54;0,00000;
5;;09/08/2024;07:30:04;726,364;14,54;0,00000;
6;;09/08/2024;07:30:05;726,334;14,54;0,00000;
7;;09/08/2024;07:30:06;726,379;14,54;0,00000;
8;;09/08/2024;07:30:07;726,364;14,54;0,00000;
9;;09/08/2024;07:30:08;726,379;14,56;0,00000;
10;;09/08/2024;07:30:09;726,364;14,56;0,00000;
11;;09/08/2024;07:30:10;726,334;14,56;0,00000;
12;;09/08/2024;07:30:11;726,364;14,54;0,00000;
13;;09/08/2024;07:30:12;726,364;14,54;0,00000;
14;;09/08/2024;07:30:13;726,379;14,54;0,00000;
15;;09/08/2024;07:30:14;726,379;14,54;0,00000;
16;;09/08/2024;07:30:15;726,379;14,54;0,00000;
17;;09/08/2024;07:30:16;726,364;14,54;0,00000;
18;;09/08/2024;07:30:17;726,410;14,56;0,00000;
19;;09/08/2024;07:30:18;726,379;14,54;0,00000;
20;;09/08/2024;07:30:19;726,379;14,54;0,00000;
21;;09/08/2024;07:30:20;726,379;14,54;0,00000;
22;;09/08/2024;07:30:21;726,379;14,54;0,00000;
23;;09/08/2024;07:30:22;726,364;14,54;0,00000;
24;;09/08/2024;07:30:23;726,440;14,54;0,00000;
25;;09/08/2024;07:30:24;726,364;14,54;0,00000;
26;;09/08/2024;07:30:25;726,303;14,54;0,00000;
27;;09/08/2024;07:30:26;726,364;14,56;0,00000;
28;;09/08/2024;07:30:27;726,379;14,56;0,00000;
29;;09/08/2024;07:30:28;726,364;14,54;0,00000;
30;;09/08/2024;07:30:29;726,410;14,54;0,00000;
31;;09/08/2024;07:30:30;726,379;14,56;0,00000;
32;;09/08/2024;07:30:31;726,364;14,56;0,00000;
33;;09/08/2024;07:30:32;726,379;14,56;0,00000;
34;;09/08/2024;07:30:33;726,410;14,54;0,00000;
35;;09/08/2024;07:30:34;726,364;14,54;0,00000;
36;;09/08/2024;07:30:35;726,379;14,56;0,00000;
37;;09/08/2024;07:30:36;726,410;14,54;0,00000;
38;;09/08/2024;07:30:37;726,364;14,54;0,00000;
39;;09/08/2024;07:30:38;726,364;14,54;0,00000;
40;;09/08/2024;07:30:39;726,364;14,56;0,00000;
41;;09/08/2024;07:30:40;726,410;14,54;0,00000;
42;;09/08/2024;07:30:41;726,410;14,54;0,00000;
43;;09/08/2024;07:30:42;726,379;14,54;0,00000;
44;;09/08/2024;07:30:43;726,379;14,54;0,00000;
45;;09/08/2024;07:30:44;726,334;14,56;0,00000;
46;;09/08/2024;07:30:45;726,379;14,56;0,00000;
47;;09/08/2024;07:30:46;726,364;14,54;0,00000;
48;;09/08/2024;07:30:47;726,379;14,54;0,00000;
49;;09/08/2024;07:30:48;726,334;14,54;0,00000;
50;;09/08/2024;07:30:49;726,364;14,56;0,00000;
51;;09/08/2024;07:30:50;726,379;14,54;0,00000;
52;;09/08/2024;07:30:51;726,364;14,54;0,00000;
53;;09/08/2024;07:30:52;726,364;14,54;0,00000;
54;;09/08/2024;07:30:53;726,364;14,54;0,00000;
55;;09/08/2024;07:30:54;726,334;14,54;0,00000;
56;;09/08/2024;07:30:55;726,334;14,54;0,00000;
57;;09/08/2024;07:30:56;726,334;14,56;0,00000;
58;;09/08/2024;07:30:57;726,379;14,54;0,00000;
59;;09/08/2024;07:30:58;726,334;14,56;0,00000;
60;;09/08/2024;07:30:59;726,364;14,54;0,00000;
61;;09/08/2024;07:31:00;726,364;14,54;0,00000;
62;;09/08/2024;07:31:01;726,379;14,54;0,00000;
63;;09/08/2024;07:31:02;726,334;14,54;0,00000;
64;;09/08/2024;07:31:03;726,364;14,54;0,00000;
65;;09/08/2024;07:31:04;726,364;14,54;0,00000;
66;;09/08/2024;07:31:05;726,364;14,54;0,00000;
67;;09/08/2024;07:31:06;726,364;14,54;0,00000;
68;;09/08/2024;07:31:07;726,379;14,54;0,00000;
69;;09/08/2024;07:31:08;726,379;14,54;0,00000;
70;;09/08/2024;07:31:09;726,364;14,54;0,00000;
71;;09/08/2024;07:31:10;726,379;14,54;0,00000;
72;;09/08/2024;07:31:11;726,410;14,54;0,00000;
73;;09/08/2024;07:31:12;726,379;14,54;0,00000;
74;;09/08/2024;07:31:13;726,379;14,54;0,00000;
75;;09/08/2024;07:31:14;726,379;14,54;0,00000;
76;;09/08/2024;07:31:15;726,364;14,54;0,00000;
77;;09/08/2024;07:31:16;726,379;14,54;0,00000;
78;;09/08/2024;07:31:17;726,410;14,54;0,00000;
79;;09/08/2024;07:31:18;726,364;14,54;0,00000;
80;;09/08/2024;07:31:19;726,379;14,54;0,00000;
81;;09/08/2024;07:31:20;726,364;14,54;0,00000;
82;;09/08/2024;07:31:21;726,379;14,54;0,00000;
83;;09/08/2024;07:31:22;726,364;14,54;0,00000;
84;;09/08/2024;07:31:23;726,379;14,54;0,00000;
85;;09/08/2024;07:31:24;726,410;14,54;0,00000;
86;;09/08/2024;07:31:25;726,364;14,54;0,00000;
87;;09/08/2024;07:31:26;726,364;14,54;0,00000;
88;;09/08/2024;07:31:27;726,379;14,54;0,00000;
89;;09/08/2024;07:31:28;726,379;14,54;0,00000;
90;;09/08/2024;07:31:29;726,410;14,54;0,00000;
91;;09/08/2024;07:31:30;726,379;14,54;0,00000;
92;;09/08/2024;07:31:31;726,364;14,54;0,00000;
93;;09/08/2024;07:31:32;726,410;14,54;0,00000;
94;;09/08/2024;07:31:33;726,364;14,54;0,00000;
95;;09/08/2024;07:31:34;726,379;14,54;0,00000;
96;;09/08/2024;07:31:35;726,410;14,54;0,00000;
97;;09/08/2024;07:31:36;726,379;14,54;0,00000;
98;;09/08/2024;07:31:37;726,364;14,54;0,00000;
99;;09/08/2024;07:31:38;726,364;14,54;0,00000;
100;;09/08/2024;07:31:39;726,410;14,54;0,00000;
101;;09/08/2024;07:31:40;726,410;14,54;0,00000;
102;;09/08/2024;07:31:41;726,410;14,54;0,00000;
103;;09/08/2024;07:31:42;726,410;14,54;0,00000;
104;;09/08/2024;07:31:43;726,379;14,52;0,00000;
105;;09/08/2024;07:31:44;726,410;14,54;0,00000;
106;;09/08/2024;07:31:45;726,410;14,54;0,00000;
107;;09/08/2024;07:31:46;726,410;14,54;0,00000;
108;;09/08/2024;07:31:47;726,440;14,52;0,00000;
109;;09/08/2024;07:31:48;726,440;14,52;0,00000;
110;;09/08/2024;07:31:49;726,410;14,54;0,00000;
111;;09/08/2024;07:31:50;726,410;14,52;0,00000;
112;;09/08/2024;07:31:51;726,410;14,52;0,00000;
113;;09/08/2024;07:31:52;726,440;14,54;0,00000;
114;;09/08/2024;07:31:53;726,471;14,54;0,00000;
115;;09/08/2024;07:31:54;726,440;14,54;0,00000;
116;;09/08/2024;07:31:55;726,410;14,54;0,00000;
117;;09/08/2024;07:31:56;726,410;14,54;0,00000;
118;;09/08/2024;07:31:57;726,440;14,54;0,00000;
119;;09/08/2024;07:31:58;726,410;14,52;0,00000;
120;;09/08/2024;07:31:59;726,379;14,54;0,00000;
121;;09/08/2024;07:32:00;726,379;14,54;0,00000;
122;;09/08/2024;07:32:01;726,379;14,54;0,00000;
123;;09/08/2024;07:32:02;726,410;14,54;0,00000;
124;;09/08/2024;07:32:03;726,364;14,52;0,00000;
125;;09/08/2024;07:32:04;726,379;14,52;0,00000;
126;;09/08/2024;07:32:05;726,410;14,54;0,00000;
127;;09/08/2024;07:32:06;726,379;14,54;0,00000;
128;;09/08/2024;07:32:07;726,410;14,52;0,00000;
129;;09/08/2024;07:32:08;726,379;14,54;0,00000;
130;;09/08/2024;07:32:09;726,440;14,52;0,00000;
131;;09/08/2024;07:32:10;726,440;14,54;0,00000;
132;;09/08/2024;07:32:11;726,410;14,52;0,00000;
133;;09/08/2024;07:32:12;726,410;14,52;0,00000;
134;;09/08/2024;07:32:13;726,440;14,52;0,00000;
135;;09/08/2024;07:32:14;726,440;14,54;0,00000;
136;;09/08/2024;07:32:15;726,410;14,54;0,00000;
