Experiment No, Location, Date,  Injection time,  End time,  Salt mass [g],145,309, wtw
1,2,09.08.2024,09:32:50,09:47:00,100,2,x,x
2,3,09.08.2024,10:11:00,10:21:00,50,2,x,x
3,4,09.08.2024,10:42:30,10:52:00,50,2,x,1
4,1,09.08.2024,11:41:00,11:51:00,200,2,x,1
5,2,09.08.2024,14:15:14,14:30:00,100,2,x,1
6,3,09.08.2024,14:59:25,15:09:00,100,2,x,1
7,1,09.08.2024,16:25:06,16:35:00,300,2,x,1
8,4,09.08.2024,15:40:05,15:50:00,100,2,x,1
9,1,11.08.2024,09:18:35,09:29:00,200,2,x,1
10,1upper,11.08.2024,12:59:00,13:01:50,100,2,x,1
