id,Name,Area,Perimeter,Max.Distanc,FlowLength,Sinuosity,Width_avg,Delta_H_ell,Grad_Flow,Grad_Straight,v1,v2,v3,q1,q2,q3
1,01InjCTD,216.6415588,269.977768,123.6794366,134.554,0.919180676,1.610071486,3.779,0.028085378,0.030554796,1.29375,1.528977273,0.459215017,0.47,0.61,0.065
1.1,01InjWTW,92.02734893,132.2901841,63.71524937,65.145,0.978,1.412654063,1.058,0.016240694,0.01660513,1.303,2.171666667,0.566521739,NaN,NaN,NaN
1.2,01WTWCTD,124.6145977,140.8175283,63.17369952,69.409,0.91,1.795366561,2.721,0.039202409,0.043071722,1.285185185,1.196551724,0.38988764,NaN,NaN,NaN
2,02InjCTD,306.0590424,649.5731632,289.0847379,323.616,0.893295566,0.94574756,8.949,0.027653144,0.030956321,0.594889706,0.881798365,NaN,0.084,0.22,NaN
2.1,02InjWTW,192.4167133,450.9042411,206.9798884,224.452,0.922,0.857273329,5.629,0.025078859,0.027195879,NaN,1.4028125,NaN,NaN,NaN,NaN
2.2,02WTWCTD,113.6423291,200.328212,83.48259003,99.164,0.842,1.146003883,3.32,0.033479892,0.039768771,NaN,0.479082126,NaN,NaN,NaN,NaN
3,03InjCTD,129.1200795,255.365097,120.1420812,126.79,0.947567483,1.018377471,4.012,0.031642874,0.033393795,0.975307692,1.280707071,NaN,0.18,0.23,NaN
3.1,03InjWTW,57.78551185,114.6422202,52.70380423,56.321,0.936,1.026002945,1.689,0.029988814,0.032047023,NaN,1.408,NaN,NaN,NaN,NaN
3.2,03WTWCTD,71.30552962,142.9388676,67.56986716,70.469,0.959,1.011870888,2.323,0.03296485,0.03437923,NaN,1.19440678,NaN,NaN,NaN,NaN
4,04InjCTD,140.7419635,244.1300147,98.37744295,121.108,0.81231168,1.162119459,3.555,0.029353965,0.036136333,1.000909091,1.000909091,NaN,0.21,0.22,NaN
4.1,04InjWTW,34.37004971,58.6392026,24.56118712,28.32,0.867,1.213631699,0.826,0.029166667,0.033630296,1.888,1.416,NaN,NaN,NaN,NaN
4.2,04WTWCTD,106.3554821,187.5762247,75.04896203,92.788,0.809,1.146220224,2.729,0.029411131,0.036362928,0.875377358,0.918712871,NaN,NaN,NaN,NaN
5,1upperInjCTD,75.88923256,170.4969331,76.33372284,84.348,0.90498557,0.89971585,3.915,0.046414853,0.051287948,1.278030303,NaN,NaN,0.34,NaN,NaN
5.1,1upperInjWTW,55.98414887,116.5065645,52.21143191,57.253,0.912,0.977837823,2.517,0.043962762,0.048207833,1.635714286,NaN,NaN,NaN,NaN,NaN
5.2,1upperWTWCTD,19.88280319,56.19031985,26.8196438,27.095,0.99,0.733818165,1.398,0.051596235,0.052125972,0.874193548,NaN,NaN,NaN,NaN,NaN
