Stream,StreamSection,StreamPartText,Name,Order,Easting,Northing,Elevation,Elevation_corr,Width,Depth1,Depth2,Depth3,Longitude,Latitude,Ellipsoidal height,Ellh_corr,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
2,1,Inj,2 Bach 01,1,2645580.235,1149925.397,2661.135,2659.725,70,25,28,28,8.0323953,46.49909278,2714.425,2713.015,Global,0.012,0.016,0.015,0.02,0.134,m,FIX,2024-08-09 14:29:54.6 UTC+02:00,2024-08-09 14:30:04.6 UTC+02:00,51,1.3,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,139.229,CH1903+ / LV95 + LN02 height
2,2,,2 Bach 02,2,2645601.722,1149917.031,2660.557,2659.147,110,20,25,22,8.03267437,46.49901606,2713.847,2712.437,Global,0.01,0.012,0.012,0.016,0.134,m,FIX,2024-08-09 14:32:44.2 UTC+02:00,2024-08-09 14:32:54.2 UTC+02:00,51,1.3,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,121.834,CH1903+ / LV95 + LN02 height
2,3,WTW,2 Bach 03,3,2645630.856,1149908.117,2659.345,2657.935,110,15,17,25,8.033053,46.49893389,2712.635,2711.225,Global,0.01,0.013,0.019,0.016,0.134,m,FIX,2024-08-09 14:35:08.6 UTC+02:00,2024-08-09 14:35:09.4 UTC+02:00,5,1.3,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,100.544,CH1903+ / LV95 + LN02 height
2,4,,2 Bach 03 v2,3,2645630.862,1149908.107,2659.331,2657.921,110,15,17,25,8.03305307,46.4989338,2712.62,2711.21,Global,0.011,0.011,0.01,0.015,0.134,m,FIX,2024-08-09 14:35:23.0 UTC+02:00,2024-08-09 14:35:33.0 UTC+02:00,51,1.3,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,100.553,CH1903+ / LV95 + LN02 height
2,4,,2 Bach 04,4,2645649.659,1149899.667,2658.68,2657.27,80,20,25,22,8.03329709,46.4988566,2711.969,2710.559,Global,0.011,0.022,0.012,0.025,0.134,m,FIX,2024-08-09 14:38:21.4 UTC+02:00,2024-08-09 14:38:31.4 UTC+02:00,51,1.4,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,91.579,CH1903+ / LV95 + LN02 height
2,4,,2 Bach 05,5,2645661.691,1149893.653,2658.489,2657.079,140,27,23,21,8.03345323,46.49880168,2711.778,2710.368,Global,0.01,0.011,0.016,0.015,0.134,m,FIX,2024-08-09 14:40:33.2 UTC+02:00,2024-08-09 14:40:43.2 UTC+02:00,51,1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,88.364,CH1903+ / LV95 + LN02 height
2,4,,2 Bach 06,6,2645679.304,1149885.832,2657.628,2656.218,80,20,25,22,8.03368188,46.49873013,2710.917,2709.507,Global,0.049,0.041,0.014,0.064,0.134,m,FIX,2024-08-09 14:42:25.2 UTC+02:00,2024-08-09 14:42:35.2 UTC+02:00,51,1.4,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,86.507,CH1903+ / LV95 + LN02 height
2,5,CTD,2 Bach 07,7,2645706.637,1149878.958,2656.759,2655.349,100,30,30,21,8.03403724,46.49866643,2710.048,2708.638,Global,0.015,0.012,0.019,0.019,0.134,m,FIX,2024-08-09 14:44:45.2 UTC+02:00,2024-08-09 14:44:55.2 UTC+02:00,51,1.8,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,86.524,CH1903+ / LV95 + LN02 height
3,0,further_up,3 Bach 1,1,2645598.67,1150020.048,2661.579,2660.169,145,23,28,25,8.03264477,46.49994294,2714.866,2713.456,Global,0.016,0.012,0.023,0.02,0.134,m,FIX,2024-08-09 15:04:45.8 UTC+02:00,2024-08-09 15:04:55.8 UTC+02:00,51,2,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,127.786,CH1903+ / LV95 + LN02 height
3,1,Inj,3 Bach 2,2,2645617.541,1150017.808,2661.173,2659.763,105,26,26,29,8.03289037,46.4999215,2714.459,2713.049,Global,0.011,0.011,0.022,0.016,0.134,m,FIX,2024-08-09 15:06:37.2 UTC+02:00,2024-08-09 15:06:47.2 UTC+02:00,51,1.9,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,110,CH1903+ / LV95 + LN02 height
