fid,ID,Distance,RDistance,SP_Dist,SP_RDist,Sinuosity,fid_2,Bach,Name,Order,Easting,Northing,Elevation,Elevation_corr,Width,Depth1,Depth2,Depth3,StreamPart,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,ID_2
"1","2",119.867548861368,119.867548861368,98.2766914985664,98.2766914985664,1.02816275495382,"23",4,4 Bach 06,"6",2645753.301,1150049.367,2656.558,2655.148,"115","30","25","18",CTD,8.03466194,46.50019613,2709.842,Global,0.011,0.013,0.014,0.017,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,94.028,CH1903+ / LV95 + LN02 height,
"2","2",119.867548861368,119.867548861368,98.2766914985664,98.2766914985664,1.03957139396075,"22",4,4 Bach 05,"5",2645724.065,1150064.094,2657.556,2656.146,"95","18","18","30",,8.03428255,46.5003306,2710.84,Global,0.011,0.01,0.013,0.015,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.5,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,100.384,CH1903+ / LV95 + LN02 height,
"3","2",119.867548861368,119.867548861368,98.2766914985664,98.2766914985664,1.02908538913703,"25",4,4 Bach 08,"8",2645781.544,1150040.473,2655.873,2654.463,"150","20","18","15",further_down,8.03502896,46.5001142,2709.156,Global,0.014,0.01,0.014,0.018,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.5,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,102.303,CH1903+ / LV95 + LN02 height,
"4","2",119.867548861368,119.867548861368,98.2766914985664,98.2766914985664,1.02770004956651,"24",4,4 Bach 07,"7",2645765.068,1150043.959,2656.245,2654.835,"120","20","18","15",further_down,8.03481468,46.50014668,2709.529,Global,0.012,0.016,0.016,0.02,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.5,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,95.062,CH1903+ / LV95 + LN02 height,
"5","2",119.867548861368,119.867548861368,98.2766914985664,98.2766914985664,1.01600838678381,"19",4,4 Bach 02,"2",2645686.404,1150088.116,2658.938,2657.528,"130","15","18","20",WTW,8.03379433,46.50054926,2712.222,Global,0.01,0.01,0.021,0.015,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.8,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,126.686,CH1903+ / LV95 + LN02 height,
"6","2",119.867548861368,119.867548861368,98.2766914985664,98.2766914985664,1.03697167248003,"18",4,4 Bach 01,"1",2645663.868,1150094.314,2660.133,2658.723,"140","20","18","20",Inj,8.03350139,46.50060655,2713.417,Global,0.012,0.011,0.014,0.016,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.5,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,139.089,CH1903+ / LV95 + LN02 height,
"7","2",119.867548861368,119.867548861368,98.2766914985664,98.2766914985664,1.00202411818649,"21",4,4 Bach 04,"4",2645707.912,1150076.12,2658.389,2656.979,"130","6","18","31",,8.03407332,46.50043989,2711.673,Global,0.01,0.01,0.015,0.014,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.4,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,111.929,CH1903+ / LV95 + LN02 height,
"8","2",119.867548861368,119.867548861368,98.2766914985664,98.2766914985664,1.08938668061136,"20",4,4 Bach 03,"3",2645699.214,1150080.567,2658.677,2657.267,"120","15","28","20",,8.03396045,46.50048048,2711.961,Global,0.013,0.011,0.016,0.017,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.5,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,117.095,CH1903+ / LV95 + LN02 height,
"9","3",126.320313828353,126.320313828352,120.051651926239,120.051651926239,1.00574339747327,"9",3,3 Bach 1,"1",2645598.67,1150020.048,2661.579,2660.169,"145","23","28","25",further_up,8.03264477,46.49994294,2714.866,Global,0.016,0.012,0.023,0.02,0.134,m,FIX,2024/08/09,2024/08/09,"51",2,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,127.786,CH1903+ / LV95 + LN02 height,
"10","3",126.320313828353,126.320313828352,120.051651926239,120.051651926239,1.00972026353972,"11",3,3 Bach 3,"3",2645633.044,1150006.955,2659.966,2658.556,"80","23","26","25",,8.03309124,46.49982282,2713.252,Global,0.01,0.011,0.016,0.015,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.9,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,91.298,CH1903+ / LV95 + LN02 height,
"11","3",126.320313828353,126.320313828352,120.051651926239,120.051651926239,1.01827677547732,"10",3,3 Bach 2,"2",2645617.541,1150017.808,2661.173,2659.763,"105","26","26","29",Inj,8.03289037,46.4999215,2714.459,Global,0.011,0.011,0.022,0.016,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.9,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,110,CH1903+ / LV95 + LN02 height,
"12","3",126.320313828353,126.320313828352,120.051651926239,120.051651926239,1.00919865864421,"13",3,3 Bach 5,"5",2645658.068,1149996.62,2659.102,2657.692,"95","28","25","30",WTW,8.03341619,46.49972815,2712.388,Global,0.013,0.011,0.013,0.017,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.7,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,64.548,CH1903+ / LV95 + LN02 height,
"13","3",126.320313828353,126.320313828352,120.051651926239,120.051651926239,1.0210573533296,"12",3,3 Bach 4,"4",2645650.166,1150000.844,2659.423,2658.013,"70","28","31","25",,8.03331367,46.49976669,2712.709,Global,0.011,0.01,0.014,0.015,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.9,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,73.426,CH1903+ / LV95 + LN02 height,
"14","3",126.320313828353,126.320313828352,120.051651926239,120.051651926239,1.00438734970153,"15",3,3 Bach 7,"7",2645694.265,1149982.85,2658.145,2656.735,"80","20","24","24",,8.03388634,46.49960182,2711.431,Global,0.012,0.017,0.014,0.021,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.5,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,27.802,CH1903+ / LV95 + LN02 height,
"15","3",126.320313828353,126.320313828352,120.051651926239,120.051651926239,1.00383496711927,"14",3,3 Bach 6,"6",2645678.085,1149990.403,2658.749,2657.339,"105","34","25","23",,8.03367632,46.49967086,2712.035,Global,0.011,0.01,0.013,0.015,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.5,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,44.562,CH1903+ / LV95 + LN02 height,
"16","3",126.320313828353,126.320313828352,120.051651926239,120.051651926239,1.01207200382633,"17",3,3 Bach 9,"9",2645719.916,1149971.204,2657.158,2655.748,"110","15","38","40",CTD,8.03421932,46.49949531,2710.444,Global,0.013,0.012,0.017,0.018,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,12.769,CH1903+ / LV95 + LN02 height,
"17","3",126.320313828353,126.320313828352,120.051651926239,120.051651926239,1.04395389687885,"16",3,3 Bach 8,"8",2645711.403,1149976.761,2657.544,2656.134,"80","25","30","30",,8.03410898,46.49954587,2710.83,Global,0.011,0.01,0.014,0.015,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.7,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,15.028,CH1903+ / LV95 + LN02 height,
"18","4",322.463259775622,322.463259775622,288.601464825074,288.601464825074,1.01424662001631,"6",2,2 Bach 05,"5",2645661.691,1149893.653,2658.489,2657.079,"140","27","23","21",,8.03345323,46.49880168,2711.778,Global,0.01,0.011,0.016,0.015,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,88.364,CH1903+ / LV95 + LN02 height,
